,Stock Name,accuracy,profit count,loss count,total no of rise,total number of loss
0,GAIL.csv,81.4432989691,0.0,79.0,13.0,84.0
1,NTPC.csv,84.3137254902,1.0,85.0,12.0,90.0
2,HDFC.csv,61.8181818182,6.0,62.0,34.0,76.0
3,WIPRO.csv,71.568627451,4.0,69.0,19.0,83.0
4,HDFCBANK.csv,66.9902912621,19.0,50.0,38.0,65.0
5,ICICIBANK.csv,90.4761904762,0.0,95.0,8.0,97.0
6,INFRATEL.csv,87.8504672897,0.0,94.0,10.0,97.0
7,TATAMOTORS.csv,70.2702702703,38.0,40.0,56.0,55.0
8,RELIANCE.csv,61.2068965517,19.0,52.0,49.0,67.0
9,TATAPOWER.csv,71.1711711712,20.0,59.0,33.0,78.0
10,TATAMTRDVR.csv,68.2242990654,27.0,46.0,40.0,67.0
11,ZEEL.csv,67.7419354839,19.0,44.0,36.0,57.0
12,TECHM.csv,66.0550458716,12.0,60.0,34.0,75.0
13,BHEL.csv,67.3076923077,8.0,62.0,31.0,73.0
14,LUPIN.csv,67.2897196262,19.0,53.0,39.0,68.0
15,LT.csv,72.7272727273,16.0,56.0,31.0,68.0
16,ULTRACEMCO.csv,62.1359223301,25.0,39.0,43.0,60.0
17,HEROMOTOCO.csv,85.1063829787,0.0,80.0,9.0,85.0
18,HINDUNILVR.csv,90.625,0.0,87.0,7.0,89.0
19,BHARTIARTL.csv,72.4489795918,30.0,41.0,41.0,57.0
20,HINDALCO.csv,62.037037037,21.0,46.0,45.0,63.0
21,AXISBANK.csv,70.652173913,30.0,35.0,40.0,52.0
22,HCLTECH.csv,93.8271604938,0.0,76.0,5.0,76.0
23,SUNPHARMA.csv,70.1149425287,18.0,43.0,33.0,54.0
24,AUROPHARMA.csv,72.5490196078,11.0,63.0,34.0,68.0
25,COALINDIA.csv,95.8333333333,0.0,92.0,4.0,92.0
26,EICHERMOT.csv,60.5263157895,41.0,28.0,61.0,53.0
27,POWERGRID.csv,70.796460177,9.0,71.0,29.0,84.0
28,ADANIPORTS.csv,73.5294117647,21.0,54.0,41.0,61.0
29,SBIN.csv,68.5714285714,6.0,66.0,25.0,80.0
30,INFY.csv,96.0396039604,0.0,97.0,4.0,97.0
31,DRREDDY.csv,70.0,12.0,65.0,32.0,78.0
32,IDEA.csv,73.786407767,22.0,54.0,40.0,63.0
33,BANKBARODA.csv,78.431372549,23.0,57.0,37.0,65.0
34,M&M.csv,69.1489361702,17.0,48.0,33.0,61.0
35,ONGC.csv,84.693877551,0.0,83.0,12.0,86.0
36,YESBANK.csv,59.4059405941,6.0,54.0,27.0,74.0
37,CIPLA.csv,75.2380952381,39.0,40.0,46.0,59.0
38,BPCL.csv,80.1724137931,1.0,92.0,14.0,102.0
39,TCS.csv,85.4368932039,0.0,88.0,9.0,94.0
40,INDUSINDBK.csv,70.4081632653,39.0,30.0,50.0,48.0
41,BOSCHLTD.csv,72.3076923077,6.0,41.0,14.0,51.0
42,AMBUJACEM.csv,68.085106383,6.0,58.0,26.0,68.0
43,ITC.csv,87.610619469,0.0,99.0,11.0,102.0
44,MARUTI.csv,75.0,25.0,59.0,42.0,70.0
45,KOTAKBANK.csv,64.6464646465,27.0,37.0,46.0,53.0
46,ACC.csv,68.0412371134,15.0,51.0,27.0,70.0
47,TATASTEEL.csv,70.4761904762,5.0,69.0,30.0,75.0
48,ASIANPAINT.csv,74.0740740741,2.0,78.0,20.0,88.0
49,GRASIM.csv,68.8888888889,5.0,57.0,27.0,63.0
